"","date","sensor","value","year","season","from_sn_start"
"292",2022-07-21 05:00:00,"beaco2n",NA,2022,"Summer",4338000
"293",2022-07-21 06:00:00,"aqs",NA,2022,"Summer",4341600
"294",2022-07-21 06:00:00,"beaco2n",NA,2022,"Summer",4341600
"295",2022-07-21 07:00:00,"aqs",NA,2022,"Summer",4345200
"296",2022-07-21 07:00:00,"beaco2n",NA,2022,"Summer",4345200
"297",2022-07-21 08:00:00,"aqs",NA,2022,"Summer",4348800
"298",2022-07-21 08:00:00,"beaco2n",NA,2022,"Summer",4348800
"299",2022-07-21 09:00:00,"aqs",NA,2022,"Summer",4352400
"300",2022-07-21 09:00:00,"beaco2n",NA,2022,"Summer",4352400
"301",2022-07-21 10:00:00,"aqs",NA,2022,"Summer",4356000
"302",2022-07-21 10:00:00,"beaco2n",NA,2022,"Summer",4356000
"303",2022-07-21 11:00:00,"aqs",NA,2022,"Summer",4359600
"304",2022-07-21 11:00:00,"beaco2n",NA,2022,"Summer",4359600
"305",2022-07-21 12:00:00,"aqs",NA,2022,"Summer",4363200
"306",2022-07-21 12:00:00,"beaco2n",NA,2022,"Summer",4363200
"307",2022-07-21 13:00:00,"aqs",NA,2022,"Summer",4366800
"308",2022-07-21 13:00:00,"beaco2n",NA,2022,"Summer",4366800
"309",2022-07-21 14:00:00,"aqs",NA,2022,"Summer",4370400
"310",2022-07-21 14:00:00,"beaco2n",NA,2022,"Summer",4370400
"311",2022-07-21 15:00:00,"aqs",NA,2022,"Summer",4374000
"312",2022-07-21 15:00:00,"beaco2n",NA,2022,"Summer",4374000
"313",2022-07-21 16:00:00,"aqs",NA,2022,"Summer",4377600
"314",2022-07-21 16:00:00,"beaco2n",NA,2022,"Summer",4377600
"315",2022-07-21 17:00:00,"aqs",NA,2022,"Summer",4381200
"316",2022-07-21 17:00:00,"beaco2n",NA,2022,"Summer",4381200
"317",2022-07-21 18:00:00,"aqs",NA,2022,"Summer",4384800
"318",2022-07-21 18:00:00,"beaco2n",NA,2022,"Summer",4384800
"319",2022-07-21 19:00:00,"aqs",NA,2022,"Summer",4388400
"320",2022-07-21 19:00:00,"beaco2n",NA,2022,"Summer",4388400
"321",2022-07-21 20:00:00,"aqs",NA,2022,"Summer",4392000
"322",2022-07-21 20:00:00,"beaco2n",NA,2022,"Summer",4392000
"323",2022-07-21 21:00:00,"aqs",NA,2022,"Summer",4395600
"324",2022-07-21 21:00:00,"beaco2n",NA,2022,"Summer",4395600
"325",2022-07-21 22:00:00,"aqs",NA,2022,"Summer",4399200
"326",2022-07-21 22:00:00,"beaco2n",NA,2022,"Summer",4399200
"327",2022-07-21 23:00:00,"aqs",NA,2022,"Summer",4402800
"328",2022-07-21 23:00:00,"beaco2n",NA,2022,"Summer",4402800
"329",2022-07-22,"aqs",NA,2022,"Summer",4406400
"330",2022-07-22,"beaco2n",NA,2022,"Summer",4406400
"331",2022-07-22 01:00:00,"aqs",NA,2022,"Summer",4410000
"332",2022-07-22 01:00:00,"beaco2n",NA,2022,"Summer",4410000
"333",2022-07-22 02:00:00,"aqs",NA,2022,"Summer",4413600
"334",2022-07-22 02:00:00,"beaco2n",NA,2022,"Summer",4413600
"335",2022-07-22 03:00:00,"aqs",NA,2022,"Summer",4417200
"336",2022-07-22 03:00:00,"beaco2n",NA,2022,"Summer",4417200
"337",2022-07-22 04:00:00,"aqs",NA,2022,"Summer",4420800
"338",2022-07-22 04:00:00,"beaco2n",NA,2022,"Summer",4420800
"339",2022-07-22 08:00:00,"aqs",NA,2022,"Summer",4435200
"340",2022-07-22 08:00:00,"beaco2n",NA,2022,"Summer",4435200
"341",2022-07-22 09:00:00,"aqs",NA,2022,"Summer",4438800
"342",2022-07-22 09:00:00,"beaco2n",NA,2022,"Summer",4438800
"343",2022-07-22 10:00:00,"aqs",NA,2022,"Summer",4442400
"344",2022-07-22 10:00:00,"beaco2n",NA,2022,"Summer",4442400
"345",2022-07-22 11:00:00,"aqs",NA,2022,"Summer",4446000
"346",2022-07-22 11:00:00,"beaco2n",NA,2022,"Summer",4446000
"347",2022-07-22 12:00:00,"aqs",NA,2022,"Summer",4449600
"348",2022-07-22 12:00:00,"beaco2n",NA,2022,"Summer",4449600
"349",2022-07-22 13:00:00,"aqs",NA,2022,"Summer",4453200
"350",2022-07-22 13:00:00,"beaco2n",NA,2022,"Summer",4453200
"351",2022-07-22 14:00:00,"aqs",NA,2022,"Summer",4456800
"352",2022-07-22 14:00:00,"beaco2n",NA,2022,"Summer",4456800
"353",2022-07-22 15:00:00,"aqs",NA,2022,"Summer",4460400
"354",2022-07-22 15:00:00,"beaco2n",NA,2022,"Summer",4460400
"355",2022-07-22 16:00:00,"aqs",NA,2022,"Summer",4464000
"356",2022-07-22 16:00:00,"beaco2n",NA,2022,"Summer",4464000
"357",2022-07-22 17:00:00,"aqs",NA,2022,"Summer",4467600
"358",2022-07-22 17:00:00,"beaco2n",NA,2022,"Summer",4467600
"359",2022-07-22 18:00:00,"aqs",NA,2022,"Summer",4471200
